nombre,genero,fuente,ultimo_caracter,,
MARIA MONICA,FEMENINO,TUNJA,A,,
LINA MILENA,FEMENINO,TUNJA,A,,
KAREN YESENIA,FEMENINO,TUNJA,A,,
LEIDY VIVIANA,FEMENINO,TUNJA,A,,
WENDY CAROLINA,FEMENINO,TUNJA,A,,
FABIOLA,FEMENINO,TUNJA,A,,
MARTHA LILIANA,FEMENINO,TUNJA,A,,
LINA MARCELA,FEMENINO,TUNJA,A,,
NINY JOHANA,FEMENINO,TUNJA,A,,
MELIZA CAMILA,FEMENINO,TUNJA,A,,
LINA MARIA,FEMENINO,TUNJA,A,,
VALERIA,FEMENINO,TUNJA,A,,
EMILCE ADRIANA,FEMENINO,TUNJA,A,,
JULY PAOLA,FEMENINO,TUNJA,A,,
NIDIA FERNANDA,FEMENINO,TUNJA,A,,
YEIMY ALEJANDRA,FEMENINO,TUNJA,A,,
DIANA PAOLA,FEMENINO,TUNJA,A,,
LEIDY JOHANA,FEMENINO,TUNJA,A,,
SILVANA MARGARITA,FEMENINO,TUNJA,A,,
LORENA,FEMENINO,TUNJA,A,,
HILDA,FEMENINO,TUNJA,A,,
DIANA XIMENA,FEMENINO,TUNJA,A,,
MIRANDA,FEMENINO,TUNJA,A,,
CLARA PATRICIA,FEMENINO,TUNJA,A,,
YUDY PAOLA,FEMENINO,TUNJA,A,,
ROSA MARIA,FEMENINO,TUNJA,A,,
JEIMMY  LORENA,FEMENINO,TUNJA,A,,
LAURA CAROLINA,FEMENINO,TUNJA,A,,
GINA PAOLA,FEMENINO,TUNJA,A,,
LUZ NIDIA,FEMENINO,TUNJA,A,,
MARTHA TERESA,FEMENINO,TUNJA,A,,
JOHANNA ANDREA,FEMENINO,TUNJA,A,,
MARIA MIGDONIA,FEMENINO,TUNJA,A,,
LIBIA ESPERANZA,FEMENINO,TUNJA,A,,
NAZLY PAOLA,FEMENINO,TUNJA,A,,
YURI LORENA,FEMENINO,TUNJA,A,,
INGRID TATIANA,FEMENINO,TUNJA,A,,
CONSTANZA LIGIA,FEMENINO,TUNJA,A,,
JESSICA ANDREA,FEMENINO,TUNJA,A,,
ANA MARIA,FEMENINO,TUNJA,A,,
CLAUDIA MARCELA,FEMENINO,TUNJA,A,,
MILENA LILIANA,FEMENINO,TUNJA,A,,
LAURA MILENA,FEMENINO,TUNJA,A,,
ADRIANA,FEMENINO,TUNJA,A,,
NATALIA XIOMARA,FEMENINO,TUNJA,A,,
ANGELA MIREYA,FEMENINO,TUNJA,A,,
ANDREA PAOLA,FEMENINO,TUNJA,A,,
DIANA MILENA,FEMENINO,TUNJA,A,,
CAROLINA,FEMENINO,TUNJA,A,,
DIANA MARIA,FEMENINO,TUNJA,A,,
EMILIA,FEMENINO,TUNJA,A,,
OLIVIA,FEMENINO,TUNJA,A,,
DAYANA ALEXANDRA,FEMENINO,TUNJA,A,,
SANDRA LILIANA,FEMENINO,TUNJA,A,,
PAOLA,FEMENINO,TUNJA,A,,
MARCELA,FEMENINO,TUNJA,A,,
DIANA CAROLINA,FEMENINO,TUNJA,A,,
ADRIANA CAROLINA,FEMENINO,TUNJA,A,,
MARTHA CECILIA,FEMENINO,TUNJA,A,,
MARIA CRISTINA,FEMENINO,TUNJA,A,,
